Q#,Year,Question,Marks
1,2018,"How are the principles followed by NITI Aayog different from those followed by the erstwhile planning commission in India?",15
2,2020,"Define potential GDP and explain its determinants. What are the factors that have been inhibiting India from realizing its potential GDP?",10
3,2021,"Explain the difference between computing methodology of India’s Gross Domestic Product (GDP) before the year 2015 and after the year 2015.",10
4,2023,"Most of the unemployment in India is structural in nature. Examine the methodology adopted to compute unemployment in the country and suggest improvements.",15
5,2023,"Distinguish between ‘care economy’ and ‘monetized economy’. How can care economy be brought into monetized economy through women empowerment?",15
6,2018,"How would the recent phenomena of protectionism and currency manipulations in world trade affect macroeconomic stability of India?",15
7,2019,"Do you agree with the view that steady GDP growth and low inflation have left the Indian economy in good shape? Give reasons in support of your arguments.",10
8,2022,"Economic growth in the recent past has been led by increase in labour activity.” Explain this statement. Suggest the growth pattern that will lead to creation of more jobs without compromising labour productivity.",15
9,2025,"What are the challenges before the Indian economy when the world is moving away from free trade and multilateralism to protectionism and bilateralism? How can these challenges be met?",10
10,2019,"It is argued that the strategy of inclusive growth is intended to meet the objectives of inclusiveness and sustainability together. Comment on this statement.",15
11,2020,"Explain intra-generational and inter-generational issues of equity from the perspective of inclusive growth and sustainable development.",10
12,2022,"Is inclusive growth possible under market economy ? State the significance of financial inclusion in achieving economic growth in India.",10
13,2022,"The increase in life expectancy in the country has led to newer health challenges in the community. What are those challenges and what steps need to be taken to meet them?",10
14,2024,"Examine the (pattern) and trend of public expenditure on social services in the post-reforms period in India. To what extent this has been in consonance with achieving the objective of inclusive growth?",10
15,2025,"Distinguish between the Human Development Index (HDI) and the Inequality-adjusted Human Development Index (IHDI) with special reference to India. Why is the IHDI considered a better indicator of inclusive growth?",10
16,2019,"Enumerate the indirect taxes which have been subsumed in the goods and services tax (GST) in India. Also, comment on the revenue implications of the GST introduced in India since July 2017.",10
17,2019,"The public expenditure management is a challenge to the Government of India in the context of budget making during the post liberalization period. Clarify it.",15
18,2020,"Explain the rationale behind the Goods and Services Tax (Compensation to States) Act of 2017. How has COVID-19 impacted the GST compensation fund and created new federal tensions?",15
19,2021,"Distinguish between Capital Budget and Revenue Budget. Explain the components of both these Budgets.",10
20,2025,"Explain how the Fiscal Health Index (FHI) can be used as a tool for assessing the fiscal performance of states in India. In what way would it encourage the states to adopt prudent and sustainable fiscal policies?",15
21,2023,"Faster economic growth requires increased share of the manufacturing sector in GDP, particularly of MSMEs. Comment on the present policies of the Government in this regard.",10
22,2023,"What is the status of digitalization in the Indian economy? Examine the problems faced in this regard and suggest improvements.",10
23,2024,"Discuss the merits and demerits of the four ‘Labour Codes’ in the context of labour market reforms in India. What has been the progress so far in this regard?",15
24,2025,"Discuss the rationale of the Production Linked Incentive (PLI) scheme. What are its achievements? In what way can the functioning and outcomes of the scheme be improved?",15
25,2025,"India aims to become a semiconductor manufacturing hub. What are the challenges faced by the semiconductor industry in India? Mention the salient features of the India Semiconductor Mission.",15
26,2020,"Explain the meaning of investment in an economy in terms of capital formation. Discuss the factors to be considered while designing a concession agreement between a public entity and a private entity.",15
27,2021,"“Investment in infrastructure is essential for more rapid and inclusive economic growth. ”Discuss in the light of India’s experience.",15
28,2022,"Why is Public Private Partnership (PPP) required in infrastructural projects ? Examine the role of PPP model in the redevelopment of Railway Stations in India.",10
29,2024,"What is the technology being employed for electronic toll collection on highways? What are its advantages and limitations? What are the proposed changes that will make this process seamless? Would this transition carry any potential hazards?",10
30,2024,"What is the need for expanding the regional air connectivity in India? In this context, discuss the government’s UDAN Scheme and its achievements.",15
31,2018,"“Access to affordable, reliable, sustainable and modern energy is the sine qua non to achieve Sustainable Development Goals (SDGs)”.Comment on the progress made in India in this regard.",10
32,2020,"Describe the benefits of deriving electric energy from sunlight in contrast to the conventional energy generation. What are the initiatives offered by our Government for this purpose?",15
33,2021,"Explain the purpose of the Green Grid Initiative launched at World Leaders Summit of the COP26 UN Climate Change Conference in Glasgow in November, 2021. When was this idea first floated in the International Solar Alliance (ISA)?",10
34,2022,"Do you think India will meet 50 percent of its energy needs from renewable energy by 2030 ? Justify your answer. How will the shift of subsidies from fossil fuels to renewables help achieve the above objective ? Explain.",15
35,2023,"The adoption of electric vehicles is rapidly growing worldwide. How do electric vehicles contribute to reducing carbon emissions and what are the key benefits they offer compared to traditional combustion engine vehicles?",15
36,2025,"How can India achieve energy independence through clean technology by 2047? How can biotechnology play a crucial role in this endeavour?",10
37,2025,"Explain the factors influencing the decision of the farmers on the selection of high value crops in India.",10
38,2023,"Explain the changes in cropping pattern in India in the context of changes in consumption pattern and marketing conditions.",15
39,2018,"How has the emphasis on certain crops brought about changes in cropping patterns in the recent past? Elaborate the emphasis on millets production and consumption.",15
40,2024,"Explain the role of millets for ensuring health and nutritional security in India.",10
41,2019,"How far is Integrated Farming System (IFS) helpful in sustaining agricultural production",10
42,2022,"What is an Integrated Farming System? How is it helpful to small and marginal farmers in India ?",15
43,2018,"Sikkim is the first ‘Organic State’ in India. What are the ecological and economical benefits of Organic State?",10
44,2018,"Assess the role of National Horticulture Mission (NHM) in boosting the production, productivity and income of horticulture farms. How far has it succeeded in increasing the income of farmers?",15
45,2018,"What do you mean by Minimum Support Price (MSP)? How will MSP rescue the farmers from the low income trap?",10
46,2022,"What are the major challenges of the Public Distribution System (PDS) in India ? How can it be made effective and transparent ?",10
47,2019,"What are the reformative steps taken by the Government to make the food grain distribution system more effective?",15
48,2021,"What are the salient features of the National Food Security Act, 2013 ? How has the Food Security Bill helped in eliminating hunger and malnutrition in India?",15
49,2024,"Elucidate the importance of buffer stocks for stabilizing agricultural prices in India.What are the challenges associated with the storage of buffer stock? Discuss.",15
50,2025,"Elaborate the scope and significance of supply chain management of agricultural commodities in India.",10
51,2020,"What are the main constraints in transport and marketing of agricultural produce in India?",10
52,2018,"Examine the role of supermarkets in supply chain management of fruits, vegetables and food items. How do they eliminate the number of intermediaries?",10
53,2022,"What are the main bottlenecks in the upstream and downstream process of marketing of agricultural products in India?",15
54,2024,"What are the major challenges faced by the Indian irrigation system in recent times? State the measures taken by the government for efficient irrigation management.",15
55,2021,"How and to what extent would micro-irrigation help in solving India’s water crisis?",10
56,2020,"Suggest measures to improve water storage and irrigation system to make its judicious use under depleting scenarios.",15
57,2019,"Elaborate the impact of the National Watershed Project in increasing agricultural production from water-stressed areas.",10
58,2019,"How can biotechnology help to improve the living standards of farmers?",15
59,2020,"How is science interwoven deeply with our lives? What are the striking changes in agriculture triggered off by the science-based technologies?",10
60,2021,"What are the present challenges before crop diversification? How do emerging technologies provide an opportunity for crop diversification?",15
61,2023,"How does e-Technology help farmers in production and marketing of agricultural produce? Explain it.",10
62,2025,"How does nanotechnology offer significant advancements in the field of agriculture?How can this technology help to uplift the socio-economic status of farmers?",15
63,2019,"Elaborate the policy taken by the Government of India to meet the challenges of the food processing sector.",15
64,2022,"Elaborate the scope and significance of the food processing industry in India.",10
65,2020,"What are the challenges and opportunities of food processing sector in the country? How can income of the farmers be substantially increased by encouraging food processing?",10
66,2025,"Examine the scope of the food processing industries in India. Elaborate the measures taken by the government in the food processing industries for generating employment opportunities.",15
67,2021,"How did land reforms in some parts of the country help to improve the socio-economic conditions of marginal and small farmers ?",10
68,2023,"State the objectives and measures of land reforms in India. Discuss how land ceiling policy on landholding can be considered as an effective reform under economic criteria.",10
69,2024,"What were the factors responsible for the successful implementation of land reforms in some parts of the country? Elaborate.",10
70,2018,"What is wetland? Explain the Ramsar concept of ‘wise use’ in the context of wetland conservation. Cite two examples of Ramsar sites from India.",10
71,2018,"How does biodiversity vary in India? How is the Biological Diversity Act,2002 helpful in conservation of flora and fauna?",15
72,2019,"Define the concept of carrying capacity of an ecosystem as relevant to an environment. Explain how understanding this concept is vital while planning for sustainable development of a region.",15
73,2020,"How does the draft Environment Impact Assessment (EIA) Notification, 2020 differ from the existing EIA Notification, 2006?",10
74,2023,"Comment on the National Wetland Conservation Programme initiated by the Government of India and name a few India’s wetlands of international importance included in the Ramsar Sites.",15
75,2024,"What role do Environmental NGOs and activists play in influencing Environmental Impact Assessment (EIA) outcomes for major projects in India? Cite Four examples with all important details.",10
76,2024,"The world is facing an acute shortage of clean and safe freshwater. What are the alternative technologies which can solve this crisis? Briefly discuss any three such technologies citing their key merits and demerits.",15
77,2025,"Examine the factors responsible for depleting groundwater in India. What are the steps taken by the government to mitigate such depletion of groundwater?",15
78,2018,"What are the impediments in disposing of the huge quantities of discarded solid wastes which are continuously being generated? How do we safely remove the toxic wastes that have been accumulating in our habitable environment?",10
79,2019,"Coastal sand mining, whether legal or illegal, poses one of the biggest threats to our environment. Analyze the impact of sand mining along the Indians coasts, citing specific examples.",10
80,2025,"Seawater intrusion in the coastal aquifers is a major concern in India. What are the causes of seawater intrusion and the remedial measures to combat this hazard?",10
81,2025,"Mineral resources are fundamental to the country’s economy and these are exploited by mining. Why is mining considered an environmental hazard? Explain the remedial measures required to reduce the environmental hazard due to mining.",15
82,2022,"Discuss in detail the photochemical smog emphasizing its formation, effects and mitigation. Explain the 1999 Gothenburg Protocol.",10
83,2022,"Explain the causes and effects of coastal erosion in India. What are the available coastal management techniques for combating the hazard ?",15
84,2023,"What is oil pollution? What are its impacts on the marine ecosystem? In what way is oil pollution particularly harmful for a country like India?",10
85,2024,"Industrial pollution of river water is a significant environmental issue in India. Discuss the various mitigation measures to deal with this problem and also the government’s initiatives in this regard.",10
86,2021,"Describe the key points of the revised Global Air Quality Guidelines (AQGs) recently released by the World Health Organisation (WHO). How are these different from its last update in 2005? What changes in India’s National Clean Air Programme are required to achieve these revised standards ?",10
87,2020,"What are the key features of the National Clean Air Programme (NCAP) initiated by the Government of India?",15
88,2021,"Describe the major outcomes of the 26th session of the Conference of the Parties (COP) to the United Nations Framework Convention on Climate Change (UNFCCC). What are the commitments made by India in this conference?",15
89,2025,"Write a review on India’s climate commitments under the Paris Agreement (2015) and mention how these have been further strengthened in COP26 (2021). In this direction, how has the first Nationally Determined Contribution intended by India been updated in 2022?",15
90,2022,"Discuss global warming and mention its effects on the global climate. Explain the control measures to bring down the level of greenhouse gases which cause global warming, in the light of the Kyoto Protocol, 1997.",15
91,2023,"The Intergovernmental Panel on Climate Change(IPCC) has predicted a global sea level rise of about one metre by AD 2100. What would be its impact in India and the other countries in the Indian Ocean region?",15
92,2025,"What is Carbon Capture, Utilization and Storage (CCUS)? What is the potential role of CCUS in tackling climate change?",10
93,2019,"Vulnerability is an essential element for defining disaster impacts and its threat to people. How and in what ways can vulnerability to disasters be characterized? Discuss different types of vulnerability with reference to disasters.",10
94,2020,"Discuss the recent measures initiated in disaster management by the Government of India departing from the earlier reactive approach.",15
95,2024,"What is disaster resilience? How is it determined? Describe various elements of a resilience framework. Also mention the global targets of Sendai Framework for Disaster Risk Reduction (2015-2030).",15
96,2018,"Describe various measures taken in India for Disaster Risk Reduction (DRR) before and after signing ‘Sendai Framework for DRR (2015-2030)’. How is this framework different from ‘Hyogo Framework for Action, 2005’?",15
97,2019,"Disaster preparedness is the first step in any disaster management process. Explain how hazard zonation mapping will help disaster mitigation in the case of landslides.",15
98,2021,"Describe the various causes and the effects of landslides. Mention the important components of the National Landslide Risk Management Strategy.",15
99,2021,"Discuss about the vulnerability of India to earthquake related hazards. Give examples including the salient features of major disasters caused by earthquakes in different parts of India during the last three decades.",10
100,2022,"Explain the mechanism and occurrence of cloudburst in the context of the Indian subcontinent. Discuss two recent examples.",10
101,2023,"Dam failures are always catastrophic, especially on the downstream side, resulting in a colossal loss of life and property. Analyze the various causes of dam failures. Give two examples of large dam failures.",10
102,2024,"What are asteroids? How real is the threat of them causing extinction of life? What strategies have been developed to prevent such a catastrophe?",15
103,2024,"Flooding in urban areas is an emerging climate-induced disaster. Discuss the causes of this disaster. Mention the features of two such major floods in the last two decades in India. Describe the policies and frameworks in India that aim at tackling such floods.",15
104,2018,"Left Wing Extremism (LWE) is showing a downward trend, but still affects many parts of the country. Briefly explain the Government of India’s approach to counter the challenges posed by LWE.",10
105,2020,"What are the determinants of left-wing extremism in the Eastern part of India? What strategy should the Government of India, civil administration and security forces adopt to counter the threat in the affected areas?",15
106,2022,"Naxalism is a social, economic and developmental issue manifesting as a violent internal security threat. In this context, discuss the emerging issues and suggest a multilayered strategy to tackle the menace of Naxalism.",15
107,2025,"The Government of India recently stated that Left Wing Extremism (LWE) will be eliminated by 2026. What do you understand by LWE and how are the people affected by it? What measures have been taken by the government to eliminate LWE?",10
108,2025,"What are the major challenges to internal security and peace process in the North-Eastern States? Map the various peace accords and agreements initiated by the government in the past decade.",15
109,2019,"The banning of ‘Jammat-e-Islami’ in Jammu and Kashmir brought into focus the role of over-ground workers (OGWs) in assisting terrorist organizations. Examine the role played by OGWs in assisting terrorist organizations in insurgency affected areas. Discuss measures to neutralize influence of OGWs.",10
110,2023,"Winning of ‘Hearts and Minds’ in terrorism affected areas is an essential step in restoring the trust of the population. Discuss the measures adopted by the Government in this respect as part of the conflict resolution in Jammu and Kashmir.",10
111,2025,"Terrorism is a global scourge. How has it manifested in India? Elaborate with contemporary examples. What are the counter measures adopted by the State? Explain.",10
112,2019,"Indian Government has recently strengthened the anti-terrorism laws by amending the unlawful Activities (Prevention) Act (UAPA), 1967 and the NIA act. Analyze the changes in the context of the prevailing security environment while discussing the scope and reasons for opposing the UAPA by human rights organizations.",15
113,2023,"Give out the major sources of terror funding in India and efforts being made to curtail these sources. In the light of this, also discuss the aim and objective of the ‘ No Money for Terror [NMFT]’ Conference recently held at New Delhi in November 2022.",15
114,2024,"Explain how narco-terrorism has emerged as a serious threat across the country.Suggest suitable measures to counter narco-terrorism.",10
115,2021,"Analyse the complexity and intensity of terrorism, its causes, linkages and obnoxious nexus. Also suggest measures required to be taken to eradicate the menace of terrorism.",15
116,2018,"India’s proximity to two of the world’s biggest illicit opium-growing states has enhanced her internal security concerns. Explain the linkages between drug trafficking and other illicit activities such as gunrunning, money laundering and human trafficking. What countermeasures should be taken to prevent the same?",15
117,2018,"The China Pakistan Economic Corridor (CPEC) is viewed as a cardinal subset of China’s larger ‘One Belt One Road’ initiative. Give a brief description of CPEC and enumerate the reasons why India has distanced itself from the same.",10
118,2021,"Discuss how emerging technologies and globalisation contribute to money laundering. Elaborate measures to tackle the problem of money laundering both at national and international levels.",10
119,2021,"Analyze the multidimensıonal challenges posed by external state and non-state actors, to the internal security of India. Also discuss measures required to be taken to combat these threats.",15
120,2022,"Discuss the types of organised crimes. Describe the linkages between terrorists and organised crime that exist at the national and transnational levels.",10
121,2020,"Discuss different types of cybercrimes and measures required to be taken to fight the menace.",10
122,2021,"Keeping in view India’s internal security, analyse the impact of cross-border cyber attacks. Also discuss defensive measures against these sophisticated attacks.",10
123,2022,"What are the different elements of cyber security ? Keeping in view the challenges in cyber security, examine the extent to which India has successfully developed a comprehensive National Cyber Security Strategy.",15
124,2024,"Describe the context and salient features of the Digital Personal Data Protection Act, 2023.",10
125,2018,"Data security has assumed significant importance in the digitized world due to rising cyber-crimes. Justice B. N. Srikrishna Committee Report addresses issues related to data security. What, in your view, are the strengths and weaknesses of the Report relating to protection of personal data in cyber space?",15
126,2024,"Social media and encrypting messaging services pose a serious security challenge. What measures have been adopted at various levels to address the security implications of social media? Also suggest any other remedies to address the problem.",15
127,2019,"Cross-Border movement of insurgents is only one of the several security challenges facing the policing of the border in North-East India. Examine the various challenges currently emanating across the India-Myanmar border. Also, discuss the steps to counter the challenges.",15
128,2020,"For effective border area management, discuss the steps required to be taken to deny local support to militants and also suggest ways to manage favourable perception among locals.",10
129,2020,"Analyse internal security threats and transborder crimes along Myanmar, Bangladesh and Pakistan borders including Line of Control (LoC). Also discuss the role played by various security forces in this regard.",15
130,2023,"The use of unmanned aerial vehicles(UAVs) by our adversaries across the borders to ferry arms/ammunition, drugs, etc., is a serious threat to internal security. Comment on the measures being taken to tackle this threat.",10
131,2023,"What are the internal security challenges being faced by India? Give out the role of Central Intelligence and Investigative Agencies tasked to counter such threats.",15
132,2025,"Why is maritime security vital to protect India’s sea trade? Discuss maritime and coastal security challenges and the way forward.",15
133,2019,"What is India’s plan to have its own space station and how will it benefit our space programme?",10
134,2021,"How is the S-400 air defence system technically superior to any other system presently available in the world?",10
135,2021,"The Nobel Prize in Physics of 2014 was jointly awarded to Akasaki, Amano and Nakamura for the invention of Blue LEDs in the 1990s. How has this invention impacted the everyday life of human beings ?",15
136,2022,"Launched on 25th December, 2021, James Webb Space Telescope has been much in the news since then. What are its unique features which make it superior to its predecessor Space Telescopes ? What are the key goals of this mission ? What potential benefits does it hold for the human race?",15
137,2023,"Introduce the concept of Artificial Intelligence (AI). How does AI help clinical diagnosis? Do you perceive any threat to privacy of the individual in the use of AI in healthcare?",10
138,2023,"What is the main task of India’s third moon mission which could not be achieved in its earlier mission? List the countries that have achieved this task. Introduce the subsystems in the spacecraft launched and explain the role of the ‘Virtual Launch Control Centre’ at the Vikram Sarabhai Space Centre which contributed to the successful launch from Sriharikota.",15
139,2018,"Discuss the work of ‘Bose-Einstein Statistics’ done by Prof. Satyendra Nath Bose and show how it revolutionized the field of Physics.",10
140,2018,"Why is there so much activity in the field of biotechnology in our country? How has this activity benefitted the field of biopharma?",15
141,2019,"How is the Government of India protecting traditional knowledge of medicine from patenting by pharmaceutical companies?",15
142,2020,"What do you understand by nanotechnology and how is it helping in the health sector?",10
143,2020,"COVID-19 pandemic has caused unprecedented devastation worldwide. However, technological advancements are being availed readily to win over the crisis. Give an account of how technology was sought to aid management of the pandemic.",15
144,2021,"What are the research and developmental achievements in applied biotechnology? How will these achievements help to uplift the poorer sections of the society?",15
145,2022,"Each year a large amount of plant material, cellulose, is deposited on the surface of Planet Earth. What are the natural processes this cellulose undergoes before yielding carbon dioxide, water and other end products ?",10
146,2022,"What is the basic principle behind vaccine development? How do vaccines work? What approaches were adopted by the Indian vaccine manufacturers to produce COVID-19 vaccines ?",15
147,2023,"Discuss several ways in which microorganisms can help in meeting the current fuel shortage.",10
148,2024,"What is the present world scenario of intellectual property rights with respect to life materials? Although India is second in the world to file patents, still only a few have been commercialized. Explain the reasons behind this less commercialization.",10
149,2018,"With growing energy needs should India keep on expanding its nuclear energy programme? Discuss the facts and fears associated with nuclear energy.",15
150,2025,"The fusion energy programme in India has steadily evolved over the past few decades. Mention India’s contributions to the international fusion energy project - International Thermonuclear Experimental Reactor (ITER). What will be the implications of the success of this project for the future of global energy?",10
